"Projeto:","Avaliador 1:","Avaliador 2:"
"a olimpiada brasileira de fisica (obf) como dispositivo de avaliacao na reformulacao do estudo dos fundamentos da fisica do ensino medio.","RODRIGO RONELLI DUARTE DE ANDRADE","JORGE GABRIEL GOMES DE SOUZA RAMOS"
"laboratorio de fisica como forma de reformulacao do estudo dos fundamentos da fisica do ensino medio","RODRIGO RONELLI DUARTE DE ANDRADE","JORGE GABRIEL GOMES DE SOUZA RAMOS"
"governancas das aguas e conflitos pelo uso dos recursos hidricos na bacia do paraiba","MARCO ANTONIO MITIDIERO JUNIOR","EMILIA DE RODAT FERNANDES MOREIRA"
"governamentalidade e controle nos discursos do cotidiano: a producao dos sentidos em espacos institucionais.","SANDRA HELENA GURGEL DANTAS DE MEDEIROS","RAQUEL BASILIO DA CUNHA DIAS DE MELO"
"educacao, redemocratizacao do estado brasileiro e a influencia dos ideais norte-americanos: o ensino urbano e rural na paraiba (1946-1950)","MARIA DO SOCORRO NOBREGA QUEIROGA","MATHEUS DA CRUZ E ZICA"
"efeito acaricida in vitro de extratos de plantas da microrregiao do brejo paraibano no carrapato de bovinos, rhipicephalus (boophilus) microplus","RAFAEL FELIPE DA COSTA VIEIRA","CELSO JOSE BRUNO DE OLIVEIRA"
"lingua portuguesa e ensino: reflexoes sobre os usos e funcoes","MARIA DE FATIMA ALMEIDA","MARINEUMA DE OLIVEIRA COSTA CAVALCANTI"
"leguminosas usadas como adubo verde no controle de plantas espontaneas no brejo e semi-arido paraibano","REJANE MARIA NUNES MENDONCA","MANOEL BANDEIRA DE ALBUQUERQUE"
"caracterizacao morfologica e perfil sanitario do redescoberto e ja criticamente ameacado de extincao, macaco-prego-galego (sapajus flavius): subsidios para manejo e conservacao","CELSO JOSE BRUNO DE OLIVEIRA","DANILO TANCLER STIPP"
"adicao de fibra em detergente neutro em dietas com palma forrageira (opuntia ficus indica mill) para cabras leiteiras","TEREZINHA DOMICIANO DANTAS MARTINS","LARA TOLEDO HENRIQUES"
"sintese de novos heterociclicos com potencialidades biologicas - perspectiva de novos farmacos","NEIDE QUEIROZ","JOSE RODRIGUES DE CARVALHO FILHO"
"manejo integrado do pulgao (hyadaphis foeniculi) (hemiptera: aphididae) em erva-doce (foeniculum vulgare)","LUCIANA CORDEIRO DO NASCIMENTO","ALEXANDRE EDUARDO DE ARAUJO"
"a politica de seguranca energetica do brasil no contexto internacional","THIAGO LIMA DA SILVA","HENRIQUE ZEFERINO DE MENEZES"
"a discursividade de enfermeiros gestores relacionada ao retardo do diagnostico da tuberculose em pessoas idosas","LEILA DE CASSIA TAVARES DA FONSECA","ISABELLE PIMENTEL GOMES"
"avaliacao da atividade leishmanicida de amidas","JOSEAN FECHINE TAVARES","ISAC ALMEIDA DE MEDEIROS"
"hipertensao arterial como causa de morte materna: avaliacao do cuidado as gestantes paraibanas","ROSALIA GOUVEIA FILIZOLA","CLAUDIO SERGIO MEDEIROS PAIVA"
"analise da concentracao energetica nas industrias brasileiras","ANAND SUBRAMANIAN","MARIA SILENE ALEXANDRE LEITE"
"producao de aguardente de abacaxi cv. perola: estudo cinetico e caracterizacao fisico-quimica da bebida","VIVIAN STUMPF MADEIRA","FLAVIO LUIZ HONORATO DA SILVA"
"loal: laboratorio de objetos de aprendizagem em linguistica","MARIA REGINA BARACUHY LEITE","PEDRO FARIAS FRANCELINO"
"sindrome de alienacao parental e ajustamento escolar: um estudo correlacional","RENATA MONTEIRO GARCIA","JOSEMBERG MOURA DE ANDRADE"
