Projeto:,Avaliador 1:,Avaliador 2:
equacoes diferenciais aplicadas em vigas e fluidos,JOEDSON SILVA DOS SANTOS,UBERLANDIO BATISTA SEVERO
sobre a teoria nao-linear dos operadores absolutamente somantes,FAGNER DIAS ARARUNA,UBERLANDIO BATISTA SEVERO
estudo e implementacao de avaliadores de treinamento para simuladores baseados em realidade virtual.,LUIZ MEDEIROS DE ARAUJO LIMA FILHO,TATIENE CORREIA DE SOUZA
ictioparasitologia em sistemas estuarinos da paraiba,ALAN LOURES RIBEIRO,VENIA CAMELO DE SOUZA
comunidades de abelhas e interacoes planta-polinizador em areas com diferentes niveis de urbanizacao,HELDER FARIAS PEREIRA DE ARAUJO,MARTIN LINDSEY CHRISTOFFERSEN
besouros escarabeineos (coleoptera: scarabaeidae) do estado da paraiba,MARTIN LINDSEY CHRISTOFFERSEN,RICARDO DE SOUZA ROSA
biogeografia de aves associadas as florestas estacionais deciduais secas da america do sul,CELSO FEITOSA MARTINS,MIODELI NOGUEIRA JUNOR
"evolucao, ciencia e sociedade: teoria evolutiva, filogenia dos metazoa, e biodiversidade dos invertebrados nao-insetos da america do sul",ALEXANDRE VASCONCELLOS,CELSO FEITOSA MARTINS
"diversidade, abundancia e distribuicao do zooplancton em regioes estuarinas no sudeste e sul do brasil",CELSO FEITOSA MARTINS,HELDER FARIAS PEREIRA DE ARAUJO
sistematica de elasmobranquios neotropicais,ALEXANDRE VASCONCELLOS,HELDER FARIAS PEREIRA DE ARAUJO
"analise ecologica de comunidades de aves em trechos de floresta urbana no municipio de joao pessoa, pb.",DANIEL OLIVEIRA MESQUITA,GUSTAVO HENRIQUE CALAZANS VIEIRA
efeito da fragmentacao da mata atlantica em populacoes da borboleta branca (morpho epistrophus nikolajewna weber 1951),ALAN LOURES RIBEIRO,GUSTAVO HENRIQUE CALAZANS VIEIRA
servicos ambientais e adequacao de areas protegidas da paraiba: diagnostico e valoracao economica para fins de conservacao,ANA CAROLINA FIGUEIREDO LACERDA SAKAMOTO,FABIANA LOPES ROCHA
regressao beta inflacionada: uma avaliacao da eficiencia da atencao primaria a saude.,EUFRASIO DE ANDRADE LIMA NETO,TATIENE CORREIA DE SOUZA
o papel da ecologia e da filogenia na definicao de  nichos ecologicos nas comunidades atuais:  uma abordagem global para lagartos,DENISE DIAS DA CRUZ,VENIA CAMELO DE SOUZA
efeitos da sucessao ecologica na estruturacao de taxocenoses de lagartos em areas de caatinga,ANTONIO CHRISTIAN DE ANDRADE MOURA,MARIA CRISTINA BASILIO CRISPIM DA SILVA
"biologia reprodutiva de especies simpatricas de orchidaceae em fragmentos de floresta atlantica da paraiba, nordeste do brasil",ANTONIO CHRISTIAN DE ANDRADE MOURA,GUSTAVO HENRIQUE CALAZANS VIEIRA
"o efeito de acaros na disponibilidade de nectar de flores ornitofilas em fragmentos de floresta atlantica da paraiba, nordeste do brasil",DANIEL OLIVEIRA MESQUITA,GUSTAVO HENRIQUE CALAZANS VIEIRA
